;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
cheap_retirement_planning;Cheap Retirement Planning;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cheap_retirement_planning_desc;Because children are the future. And your retirement insurance.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
family_values;Family Values;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
family_values_desc;New psychological theory has further reinforced the importance of a stable family unit.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
coal_power;Coal Power;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
coal_power_desc;Coal-powered turbines, the very driving force behind the industrialization of the western world.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
genetics_hereditary;Hereditary Genetics;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
genetics_hereditary_desc;Understanding of genetics and the role it plays in biological traits has improved our medicine.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
bakery_power;Bakeries and Mills;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
bakery_power_desc;With natural power being harnessed to help process food, our people are taking the first small steps towards a culture of commercial consumption.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
combine_harvesters;Powered Combine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
combine_harvesters_desc;With George Stockton Berry's use of a steam engine in a combine harvester, the potential harvest of a single worker increased dramatically.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
horse_artillery_desc;The one disadvantage of modern artillery is that it is heavy and slow. In order to make these units more mobile, their potential firepower has been reduced. The ability to get them to the front faster, as well as their increased maneuverability, more than makes up for this drawback in the eyes of many strategists.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
wineries;Wineries;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
wineries_desc;Not the small, locally-based wineries but the large breweries capable of producing thousands of bottles per day. Glass and fruit are required inputs.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
boxers;Boxers;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
boxers_desc;The Boxer Rebellion, or Yihetuan Movement, was a proto-nationalist movement by the Righteous Harmony Society in China which opposed both foreign imperialism and Christianity. Popular sentiment turned against foreign influence in the country, from opium traders to economic manipulation and missionary evangelism, giving rise to very organized revolts.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
power_of_tradition;Power of Tradition;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
power_of_tradition_desc;The path to modernization for any uncivilized country involved walking a fine line between enacting reforms and appeasing those who saw such reforms as a violation of centuries of tradition… or, if they could not be appeased, putting down their revolts in violent fashion. Almost every uncivilized nation faced uprisings prior to achieving acceptance not only from their own people but from the world at large.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
self_determination;Self-Determination;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
self_determination_desc;Being subject to the will of a distant overlord has given the people a common cause, one that crosses all ideological boundaries. They will unite to oppose foreign rule, rising up violently if necessary, and deal with their other differences once a free government has been achieved.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
turkish_nationalism;Turkish Nationalism;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
turkish_nationalism_desc;Championed by the 'Young Turks', Turkish Nationalism because an ideology across the Ottoman Empire which promoted and glorified the Turkish people, and which sought to put the interests of the state over other influences-- even religious ones.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
x_rays;X-Rays;Radiographie;Röntgenstrahlen;;Rayos X;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;
vassal_nation;Vassal Nation;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
vassal_nation_desc;As a vassal nation to a foreign power, we will always be seen as a lesser country in the eyes of the rest of the world.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
basic_training;Basic Training;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
basic_training_desc;Every country holds a process by which new recruits into their armed forces are trained, but the refinement of this process has enabled not only for recruits to be trained more quickly but for the overall quality of their training to be increased.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
flintlock_pistoliers;Flintlock Pistoliers;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
flintlock_pistoliers_desc;While primarily superior for its maneuverability and speed, modern cavalry has become better armed with modern weaponry-- and thus far better suited to serve in an offensive capacity than ever before.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
rosendale_cement;Rosendale Cement;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
rosendale_cement_desc;"Rosendale cement generally refers to a type of natural cement that was produced in and around Rosendale,New York from argillaceous limestone,but is a term that has had different definitions at different times. The fast-setting Rosendale natural cement mortars proved to be more efficient than the mortars based on lime and sand. Because of its reputation,""""""Rosendale Cement"""" has also been used as both a trade name and as a generic term referring to natural hydraulic cements produced elsewhere.";;;;;;;;;;;;"x"",,,,";;;;;;;;;;;;;;;;
synthetic_cement;Synthetic Cement;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
synthetic_cement_desc;'Natural' cement,namely cement that does not use chemical processes to make the result more durable,began to fall out of use with the production of modern concrete. A veriety of synthetic brands has developed and has resulted in a burgeoning construction industry.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
the_decline_of_the_west_and_the_lost_generation_desc;The combination of the dramatic social, economic and political transformations undertaken in the nineteenth century with the rise of industry and the devastation produced by mass warfare in the industrial age created a crisis of confidence among many intellectuals that the whole structure of society was under siege and in danger of complete collapse. Oswald Spengler began work on 'The Decline Of The West' in 1911 as the challenges of new social, political and economic forces were shaking advanded industrial societies to their cores, with Spengler concluding that what these societies were experiencing was part of the natural cycle of civilizations that rise, have a period of brilliance, and eventually decline and collapse – a direct challenge to the Victorian idea that modern industrial society could continually be improved as a result of humanity’s rational abilities. Coined by American author Gertrude Stein, 'The Lost Generation' captured the sense of loss and emptiness that many veterans of Great War felt after surviving the carnage of the battlefields and questioning the values and beliefs that had encouraged their nations to participate in the conflicts in the first place. These themes of decline and loss that Spengler and Woolf developed would dominate the cultural landscape in the early twentieth century.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
the_dark_continent;The Dark Continent;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
the_dark_continent_desc;A common name for Africa prior to its exploration, 'the Dark Continent' referred to the deep interior where few men had ever seen much less knew anything about. These deep jungles and desolate wastes were a no-man's-land, populated primarily by natives who had little contact with civilization. With the increase of exploration brought on by colonialism, suddenly the ability to colonize the areas previously denied us has become possible.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
vangaurd_party;Vanguard Party;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mixed_economy_desc;Mixed economy is an economic system in which both the state and private sector direct the economy, reflecting characteristics of both market economies and planned economies. Most mixed economies can be described as market economies with strong regulatory oversight, and many mixed economies feature a variety of government-run enterprises and governmental provision of public goods.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
schwerpunkt;schwerpunkt;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
schwerpunkt_desc;schwerpunkt is a term reffering to the 'center of gravity or point of maximum effort, where a decisive action could be achieved'. Ground, mechanised and tactical air forces could be concentrated at this point of maximum effort whenever possible. By local success at the schwerpunkt, a small force achieved a breakthrough and gained advantages by fighting in the enemy's rear. Guderian summarized this doctrine as 'Klotzen, nicht kleckern!' meaning 'act powerfully, not superficially'.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
nylon;Nylon;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
nylon_desc;Nylon was intended to be a synthetic replacement for silk and substituted for it in many different products after silk became scarce during World War II. It replaced silk in military applications such as parachutes and flak vests, and was used in many types of vehicle tires;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
scientific_forestry;Scientific Forestry;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
scientific_forestry_desc;Scientific Forestry using the Prussian model allows states to regularize and predict timber production through the classification and management of forest resources;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
financial_services;Financial Services;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
electric_power;Electric Power;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
shares;Shares;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
bank;Bank;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
bank_desc;Banking institutions are financial intermediaries that accept deposits and channel those deposits into lending activities, either directly or through capital markets.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
coal-fired_powerplant;Coal-Fired Power Plant;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
coal-fired_powerplant_desc;Most of the world's electricity is produced by burning coal in boilers, producing steam which drives the turbines that generate electricity.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
petrolium-based_powerplant;Petroleum-Based Power Plant;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
petrolium-based_powerplant_desc;As coal can be burned in a power plant to produce electricity, so can petroleum.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
stock_exchange;Stock Exchange;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
stock_exchange_desc;Stock exchanges provide a market for the brokerage and trade of stocks and secrities. They generally offer a wide range of different financial securities.;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
commercial_focus;Commercial Focus;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
boots;Boots;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
shoes;Shoes;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
cigars;Cigars;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
cigarettes;Cigarettes;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
horses;Horses;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
boot_factory;Boot Factory;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
boot_factory_desc;This factory turns leather and iron fittings into boots, which are prized by the rich as a luxury.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
shoe_factory;Shoe Factory;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
shoe_factory_desc;With the Industrial Revolution, even age-old industries such as shoemaking have to secure a foothold in these turbulent times through standardization and assembly lines.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
cigar_factory;Cigar Factory;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
cigar_factory_desc;Cigars still remain as a sign of luxury and stature since the discovery of tobacco in the Americas.;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
cigarette_factory;Cigarette Factory;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
cigarette_factory_desc;Since cigars are expensive to manufacture, cigarettes have sprung up as a cheaper alternative for the masses.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
wool_mill;Wool Mill;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
wool_mill_desc;Wool was the traditional source of fabric until cotton was discovered during the Age of Sail. Despite this, wool is still widely used by the textile industry.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
fish_cannery;Fish Cannery;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
fish_cannery_desc;Fish was a extremely perishable foodstuff until the advent of the Industrial Revolution and its preserving techniques. When the first fish canneries began production, fish became a more accessible and long-lasting commodity.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;;
bakery;Bakery;;;;;;;;;;;;;;x,,;;;;;;;;;;;;;;
bakery_desc;Bakeries have been the foundation of cities since time immemorial; without grain and bread, cities as we know them could not sustain their population.;;;;;;;;;;;;;;x,;;;;;;;;;;;;;
advanced_machine_parts_factory;Advanced Machine Parts Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
advanced_machine_parts_factory_desc;Machinery has become increasingly more sophisticated, and thus only specialized factories are able to produce the parts that are highly in demand.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
gunpowder;Gunpowder;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
lead;Lead;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
copper;Copper;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
copper_RGO_SIZE;Copper Mine Size;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
rum_distillery;Rum Distillery;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
rum_distillery_desc;A distillery used to turn sugar into rum, first created in the New World but which quickly spread to other countries as sugar became more prevalent.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
bronze_factory;Bronze Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
bronze_factory_desc;A factory creating bronze alloy, most commonly used in artillery but also having applications in many other industries.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
bronze;Bronze;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
sugar;Sugar;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
spices;Spices;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
spices_RGO_SIZE;Spice Farm Size;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
synthetic_rubber_factory;Synthetic Rubber Plant;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
synthetic_rubber_factory_desc;A plant in which artificial rubber is produced, reducing the nation's reliance on natural sources.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
pharmaceutical_plant;Pharmaceutical Plant;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
pharmaceutical_plant_desc;A plant in which modern medicines are created, must using opiates from eastern nations.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
fruit_cannery;Fruit Cannery;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
fruit_cannery_desc;A factory in which fruit is preserved and canned for consumption elsewhere.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
stables;Stables;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
stables_desc;Cavalry remains the majority of any modern nation's army. Thus methods of raising horses that are capable of being used in war is of vital importance.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
artillery_factory;Steel Artillery Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
iron_artillery_factory;Iron Artillery Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
iron_artillery_factory_desc;An upgraded factory creating the most modern designs of iron artillery.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
bronze_artillery_factory;Bronze Artillery Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
bronze_artillery_factory_desc;An upgraded factory creating the most modern designs of bronze artillery.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
early_small_arms_factory;Early Small Arms Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
early_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
late_small_arms_factory;Late Small Arms Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
late_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
gunpowder_factory;Gunpowder Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
gunpowder_factory_desc;A factory used to create gunpowder for use in early firearms.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
tropical_lumber_mill;Tropical Lumber Mill;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
tropical_lumber_mill_desc;Harvesting lumber from tropical forest is a more complicated process, but results in a much wider variety of wood such as teak and mahogany.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
rubber_boot_factory;Rubber Boot Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
rubber_boot_factory_desc;"Not merely making boots,"" these plants are used to produce a variety of clothing such as jackets, footwear and industrial protective gear.";;;;;;;;;;;;"x"",";;;;;;;;;;;;;;;;
advanced_luxury_clothes_factory;Advanced Luxury Clothes Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
advanced_luxury_clothes_factory_desc;A more advanced version of the regular luxury clothes factory, able to produce more complex clothes from a wider variety of exotic materials.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
advanced_luxury_furniture_factory;Advanced Luxury Furniture Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
advanced_luxury_furniture_factory_desc;A more advanced version of the regular luxury furniture factory, able to produce more complex furniture from a wider variety of exotic materials.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
synthetic_fabric_factory;Synthetic Fabric Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
synthetic_fabric_factory_desc;The development of new, durable synthetic fabrics has opened up a whole new industry to satisfy the demands of clothing manufacturers.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
sugar_beet_refinery;Sugar Refinery;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
sugar_beet_refinery_desc;The process of refining sugar beets into raw sugar has rapidly expanded the industry.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
newspaper;Printing Press;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
newspaper_desc;The availability of cheap paper and advances in printing press technology have spawned the creation of newsprint, bringing news and culture to a literate audience both locally and abroad. To many, this is the vehicle upon which propaganda and public awareness will be based in the years to come.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
synthetic_silk_factory;Synthetic Silk Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
synthetic_silk_factory_desc;The creation of synthetic silk has reduced the reliance of textile factories upon natural sources, as well as reduced the cost of luxury clothing across the world.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;
print;Print;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
financial_services;Financial Services;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Bronze and Coal are required to produce them.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
iron_machine_parts_factory;Iron Machine Parts Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
iron_machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Iron and Coal are required to produce them.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
steel_machine_parts_factory;Steel Machine Parts Factory;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
steel_machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Steel and Coal are required to produce them.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
