daylamite_mountaineers_desc;The establishment of the Daylamite Mountain Troops has yielded a unit of elite soldiers ready to fight on the rugged terrain of Iran, from the Zagros to the Kopet Dag.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kar_kiya_land_redistribution;Land Reform in Gilan-Mazandaran;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kar_kiya_land_redistribution_desc;The redistribution of the old Kar-Kiya crownlands to has breathed new life into the agricultural sector of our state.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalwatiya_forced_conversion;Forced Conversion of the Ismaili and Twelver Communities;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalwatiya_forced_conversion_desc;Through violence and a crippling tax burden, the Ismaili and Twelver communities are being forced to convert to Zaydism.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gorgan_lease;The Lease of Gorgan;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gorgan_lease_desc;We have leased Gorgan and the Caspian port of Bandar Torkaman to the Russians. In exchange, the Russians have sent military attachés to oversee the reform of our army into a capable fighting force.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
university_athens;The University of Athens;;;;;;;;;;;;;
university_athens_desc;The first modern and the most prestigious institution of knowledge in Hellas.;;;;;;;;;;;;;
university_venice;The University of Venice;;;;;;;;;;;;;
university_venice_desc;The first modern and the most prestigious institution of knowledge in Venice.;;;;;;;;;;;;;
thrace_boom;Enosis;;;;;;;;;;;;;
thrace_boom_desc;The fulfillment of the Megali Idea has led to the installation of many settlers from the rest of Greece in areas 'left' by the Turkish inhabitants.;;;;;;;;;;;;;
enosis_modifier;Enosis Achieved;;;;;;;;;;;;;
enosis_modifier_desc;Enosis is completed and the people living in our country are now being assimilated.;;;;;;;;;;;;;
federales_CLM_title;Gendarmeria Federal;;;;;;;;;;;;;
federales_CLM_desc;Our gendarmeria is the pride of our police forces!;;;;;;;;;;;;;
janissary_rule;Janissary Rule;;;;;;;;;;;;;
janissary_rule_desc;The Janissaries have seized power over the state and installed a brutal dictatorship.;;;;;;;;;;;;;
janissary_system;Janissary System;;;;;;;;;;;;;
janissary_system_desc;The victorious Janissaries have continued the old Ottoman policies of divide et impera in the Balkans, fostering interethnic conflict to weaken opposition and present the Turkish state as a benevolent arbiter.;;;;;;;;;;;;;
hellas_independence_war;Hellas Fights for Freedom;;;;;;;;;;;;;
hellas_independence_war_desc;Hellas has risen up against the Venetokratía and is willing to sacrifice whatever it takes to obtain freedom.;;;;;;;;;;;;;
second_year_greek_war;The Struggle Against Venice Continues;;;;;;;;;;;;;
second_year_greek_war_desc;As the war of Independence against Venice enters its second year, the Greeks remain determined to throw off the Latin yoke for good.;;;;;;;;;;;;;
hellinopoieisi;Hellinopoieisi;;;;;;;;;;;;;
hellinopoieisi_desc;A Hellenisation programme is being implemented to coerce the Arvanites into shedding their ancestral language in favour of Greek.;;;;;;;;;;;;;
soyurghal_system;The Soyurghal System;;;;;;;;;;;;;
soyurghal_system_desc;The Soyurghal appanage system grants the Dehqans almost complete autonomy in fiscal and judicial matters, severely limiting the ability of the Shahanshah to impose his will on his subjects.;;;;;;;;;;;;;
dehqan_autonomy;Dehqan Appanage;;;;;;;;;;;;;
dehqan_autonomy_desc;Khorasan is fragmented into a mosaic of Soyurghals under the de-facto rule of a landed magnates, the Dehqans, responsible for collecting taxes and maintaining agriculture and infrastructure.;;;;;;;;;;;;;
idris_insolence;Idris' Defiance;;;;;;;;;;;;;
idris_insolence_desc;The weakness of the Shahanshah, Firuz II, is apparent to all, including his brother Idris Timurtash, who for a few years has refused to pay the annual tribute as is due.;;;;;;;;;;;;;
limited_dehqan_autonomy;Limited Dehqan Autonomy;;;;;;;;;;;;;
limited_dehqan_autonomy_desc;Although the Dehqans still enjoy ample fiscal and judicial autonomy under the Soyurghal system, the amirs that supervise the administration and the military of the appanage are now appointed by the Shahanshah, rather than the Dehqans themselves, severely limiting the ability of the appanage holders to disregard the authority from Herat.;;;;;;;;;;;;;
ismaili_education;Ismaili Madrasas;;;;;;;;;;;;;
ismaili_education_desc;The Ismaili madrasas can now act freely throughout our realm, teaching not only theology but also secular subjects such as philosophy, mathematics and calligraphy.;;;;;;;;;;;;;
khorasan_irrigation;Renovated Irrigation System in Khorasan;;;;;;;;;;;;;
khorasan_irrigation_desc;The repairing of the old irrigation system, combined with the building of brand-new canals, has allowed Khorasan to not only reach but overshoot the prewar figures for agricultural production.;;;;;;;;;;;;;
mosallamiyat_abolished;Mosallamiyat Abolished;;;;;;;;;;;;;
mosallamiyat_abolished_desc;The hereditary tax immunities, the Mosallamiyat, that the officer corps of the army had been enjoying for decades has been abolished, giving the Imperial treasury further resources with which to modernise the state.;;;;;;;;;;;;;
madan_turquoise;Nishapur Turquoise Mines;;;;;;;;;;;;;
madan_turquoise_desc;State investment in mining infrastructure has allowed a revitalisation of the turquoise-mining sector in Nishapur, allowing the export of high-quality gemstone.;;;;;;;;;;;;;
azarbaijan_reconstruction;The Reconstruction of Azarbaijan;;;;;;;;;;;;;
azarbaijan_reconstruction_desc;The rehabilitation of Azarbayjan is underway, undoing the damage that both nature and man alike inflicted upon this province.;;;;;;;;;;;;;
investing_azarbaijan;Investing in Azarbayjan;;;;;;;;;;;;;
investing_azarbaijan_desc;Part of the national budget is being invested into the reconstruction of Azarbayjan, tying up a significant amount of our financial means.;;;;;;;;;;;;;
forced_integration;Forced Assimilation;;;;;;;;;;;;;
forced_integration_desc;Authorities are trying to uniformise the language spoken in this province, banning the local languages and shaming their users in an act of linguistic genocide.;;;;;;;;;;;;;
disbanded_guilds;Guilds Abolished;;;;;;;;;;;;;
disbanded_guilds_desc;The disbanding of the Ottoman guilds has allowed the Kurdish state to remove archaic hindrances towards the modernisation of its economy.;;;;;;;;;;;;;
kuren_kurdistana_azad;Kuren Kurdistana Azad;;;;;;;;;;;;;
kuren_kurdistana_azad_desc;The Kuren Kurdistana Azad are a group of freedom fighers - or brigands, depending on the perspective - who form the battle-hardened core of our armed forces, having had their baptism of fire in the Janissary Rebellions.;;;;;;;;;;;;;
hungarian_noble_privilege;Overburdened Plebeians;;;;;;;;;;;;;
hungarian_noble_privilege_desc;The Nobility of Royal Hungary parasitically exploits the peasantry. Not only do the serfs owe free labour to their lords, but they are also forced to pay for the expenses of the Hungarian Diet which represents exclusively the rights of the Nobility.;;;;;;;;;;;;;
szekely_privilege;The Székelyföld;;;;;;;;;;;;;
szekely_privilege_desc;The Szekely lands enjoy a degree of limited internal autonomy, having their own administrative system and charters preventing the transfer of land from the Székelyföld to non-Szekelys.;;;;;;;;;;;;;
koenigsboden;The Königsboden;;;;;;;;;;;;;
koenigsboden_desc;The Transylvanian Saxons have lived under a system of autonomous self-administration since the times of King Andreas II, who issued the Golden Charter establishing the indivisibility and autonomy of the Saxon lands and the prevalence of Saxon law - the Eygenlandrecht - over Royal law in the Königsboden.;;;;;;;;;;;;;
szekely_tax_exemption;Szekely Tax Exemptions;;;;;;;;;;;;;
szekely_tax_exemption_desc;The Szekely have enjoyed for centuries complete tax exemption in exchange for their military service, preventing the central government from tapping into a potentially large fiscal base.;;;;;;;;;;;;;
szekely_unrest;Szekely Unrest;;;;;;;;;;;;;
szekely_unrest_desc;The decree abolishing the privileges of the Szekely people and the autonomy of the Székelyföld have been met with hostility, heralding trouble for years to come.;;;;;;;;;;;;;
vlach_unrest;Vlach National Awakening;;;;;;;;;;;;;
vlach_unrest_desc;The Vlachs are at the bottom of the social ladder in Transylvania, being the only of the four peoples of the Principality to not have any recognised political rights, and are marginalised particularly in the Königsboden. A growing national consciousness and the popularisation of the Daco-Romanian continuity theory mean that the days where Vlachs accepted being treated as foreigners in their own homeland are counted.;;;;;;;;;;;;;
ADS_activity;ADS Agitation;;;;;;;;;;;;;
ADS_activity_desc;The Allgemeiner Deutscher Schutzverband operates in this province, spreading anti-Magyar propaganda to turn the Saxons against the Hungarian government and promote pan-Germanism.;;;;;;;;;;;;;
transylvanian_revolution;The Transylvanian Revolution;;;;;;;;;;;;;
transylvanian_revolution_desc;The opressive policies of the Hungarian government have united the three peoples of Transylvania in a common struggle to restore the independence of the Principality and preserve its unique customs and way of life.;;;;;;;;;;;;;
negotiations_moldavia;Negotiations for Moldavia;;;;;;;;;;;;;
negotiations_moldavia_desc;Negotiations are ongoing with a neighbouring power over the transfer of Moldavia, which would serve as a compensation for our acquisitions elsewhere in the former Romanian lands.;;;;;;;;;;;;;
italian_mission_albania;Italian Military Mission in Albania;;;;;;;;;;;;;
italian_mission_albania_desc;Italy has undertaken to modernise our army, supplying us with advanced weapons and sending officers to train our cadres in accord with Italian military theory.;;;;;;;;;;;;;
italian_investment_valona;Italian Investment in Vlorë;;;;;;;;;;;;;
institutionalised_sharia;Institutionalised Shari'a;;;;;;;;;;;;;
institutionalised_sharia_desc;Shari'a has been institutionalised as our state's legal code, displacing the long tradition of Feqh-influenced secular jurisprudence.;;;;;;;;;;;;;
demographic_pressure_indian;Demographic Pressure in the Indian Lands;;;;;;;;;;;;;
henequen_boom;Henequen Boom;;;;;;;;;;;;;
criollo_ayuntamientos;Criollo Ayuntamientos;;;;;;;;;;;;;
begin_revolution;Revolutionary Struggle;;;;;;;;;;;;;
begin_revolution_desc;The revolution has begun and every single citizen in our nation will have to make extraordinary sacrifices in order to see it through to a victorious end.;;;;;;;;;;;;;
drive_to_reunify;Drive to Reunify;;;;;;;;;;;;;
siete_patidas_abolished;New Huastec Legal Code;;;;;;;;;;;;;
siete_patidas_abolished_desc;The derogation of the medieval Castilian code of jurisprudence, the Siete Partidas, confers greater economic and legal autonomy to women in our lands, facilitating their contribution to the progress of the Huastec nation.;;;;;;;;;;;;;
maya_city_rediscovered;Rediscovered Maya City;;;;;;;;;;;;;
emancipated_maya;Emancipation of the Yucatecs;;;;;;;;;;;;;
emancipated_maya_desc;Indebted peonage has been abolished in Mayapan, releasing impoverished Maya from their Haciendas and bolstering the pool of potential recruits for the Army of Mayapan.;;;;;;;;;;;;;
bataab_office_abolished;The End of the Batabo'ob;;;;;;;;;;;;;
bataab_office_abolished_desc;The corrupt system of Batab chiefdoms has been uprooted and replaced by modern bureaucracy, exempting the Maya peasantry from crushing feudal obligations.;;;;;;;;;;;;;
otomi_caciques_gone;Expelled Caciques;;;;;;;;;;;;;
otomi_caciques_gone_desc;The ruthless caciques that terrorised the Otomi countryside have been forced to capitulate or flee into exile, thus relieving the peasantry of the vexating tax burdens hitherto imposed by the petty warlords.;;;;;;;;;;;;;
cargo_system;The Cargo System;;;;;;;;;;;;;
cargo_system_desc;The traditional cargo system of hierarchic office-holding in villages is being exploited by the clergy to enrich themselves at the expense of the peasantry and maintain their privileged position at the top of the institutional pyramid.;;;;;;;;;;;;;
enedzaa_education;Eneedzaa's Alphabetisation Programme;;;;;;;;;;;;;
enedzaa_education_desc;The cacique and Minister of Development, Aguilar Eneedzaa, has implemented an ambitious educational project aimed at increasing the literacy of the Mixe people and inducting them into notions of indigenism and patriotism.;;;;;;;;;;;;;
eneedzaa_plantations;Eneedzaa's Coffee Plantations;;;;;;;;;;;;;
union_mixe_farmers;Union of Mixe Peasants;;;;;;;;;;;;;
union_mixe_farmers_desc;The sham Union of Mixe Peasants works against, rather than in defence of, the farmers of the coffee plantations promoted by the cacique Eneedzaa.;;;;;;;;;;;;;
eneedzaa_road;Sierra Madre Press Gangs;;;;;;;;;;;;;
social_defence_militia;Social Defence Militia Terror;;;;;;;;;;;;;
social_defence_militia_desc;The Social Defence Militia established by cacique Eneedzaa are used as a weapon of terror to coerce the Mixe people into submission, resorting to rape, murder and arson to enforce his rule.;;;;;;;;;;;;;
zapotec_heritage;Reclaimed Zapotec Heritage;;;;;;;;;;;;;
zapotec_heritage_desc;The ruins of Lyobaa have been rehabilitated to allow the world to admire the splendour of pre-conquest Zapotec mosaics and a research centre has been built in its environs to promote a renaissance of Zapotec culture.;;;;;;;;;;;;;
cochineal_dye;Cochineal Carmine Dye;;;;;;;;;;;;;
coo_yuu;Coo Yuu;;;;;;;;;;;;;
coo_yuu_desc;The Coo Yuu system allows the use of otherwise barren valleys and ravines for Maize plantation in terraces, greatly boosting the productivity of the Mixtec lands.;;;;;;;;;;;;;
colombian_clergy_privilege;Privileged Clergy;;;;;;;;;;;;;
colombian_clergy_privilege_desc;The clergy of Gran Colombia enjoys a privileged position within the country, protected by Fueros that establish their rights to be judged under clerical juristiction and the inviolability of Church land.;;;;;;;;;;;;;
