EVTNAME4303;An Argument Over Money;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4303;A discussion is being held in one of our state assemblies on the issue of our wealth based voting system. Opponents argue that the present system is set by design to permanently and lastingly disenfranchise broad stratas of the population. We have the options of leaving the discussion, and hoping that it stays on a local level, or intervening to defend the present system, and raise the discussion to a national level.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4303;Leave this to die;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4303;Raise the question;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4304;A Household Affair;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4304;So, you see, it would be detrimental to the long-term peace and stability of our home state if the government were to announce that it seeks to support the calls for further voting reforms, that have elsewhere been voiced by slovenly revolutionary trash. Their screams are merely those of angry children.'\n\nOur government has been approached by a group of capitalists, aristocrats and other leading tycoons of local public life in one of our states. The group calls itself the Alliance of Concerned Citizens, and has sought the government's ear to inform it that there still are those who oppose any further reform to the political franchise. What should we tell them?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4304;We shall see what we can do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4304;Well, we certainly can't promise anything;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4305;Celebration of Freedom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4305;People are getting along just fine in at least one of our provinces, it seems. A local political deadlock, that has persisted in one of our states since the last election, has been resolved in a compromise across party lines. With a compromise reached, the local political assemblies can get back to work. Locals are taking to the streets, celebrating the event as a great victory for democracy, and recalling those immortal words by Friedrich Schiller: 'Joy, beautiful sparkle of the gods, Daughter of Elysium. All men become brothers, where your tender wing lingers.';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4305;Rejoice!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4305;Truly something particular!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4400;The Era of Laissez-Faire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4400;It is my wish, therefore, that my collected fortune, in the forms of bonds, land, stocks and shareholds, be bequeathed to a foundation which is to further and advance the causes of human liberty, and freedom.'\n\nOurs is the era of Laissez-Faire. The free-trade policies our government embraces cause goods to flow across our borders, and wealth to flow into our coffers. As Adam Smith rightly predicted, an invisible hand seems to guid the fate of our nation toward a future of ever-increasing prosperity, and for the first time in centuries, famine is becoming a thing of the past. A wealthy trader has died in one of our states, and has bequeathed his fortune to advance the cause of free trade.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4400;Our merchants are our pride;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4400;Our workers are our pride;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4401;Bread Riots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4401;Barricades have been erected on Main Street, and bakery shop windows have been smashed, following spontaneous outbursts of looting. Food shortages are becoming ever more widspread in $COUNTRY$, and pent up anger is spilling onto the streets. Many blame our government's protectionist policies for the failures in the food market, and some are even calling for the cabinet to resign. We have two options for handling this crisis: Either we reshuffle the cabinet and hope to placate public opinion, or we bide our time and trust that our protectionist policies will be proven right in the long run.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4401;Reshuffle the Cabinet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4401;Bide the time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4402;Guns Cross The Border;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4402;In $COUNTRY$, trade flows freely from one to the other, and few, if any, restrictions exist on trade betweeen our merchants. In one of our neighbor countries, however, there still exists heavy import restrictions on wares and goods, and this is apparently especially true for weapons and firearms. Our two systems have locked horns in one of our border provinces, where a $COUNTRY_ADJ$ merchant has set up shop, trading weapons across the border. While we could inform our neighbor about the situation, we have very few legal means of stopping the merchant in question. After all, free trade applies to guns as well.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4402;Inform on the merchant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4402;The merchant is a free man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4403;Local Business Fails;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4403;One of our merchants has found himself in dire straits since the collapse of his family business. The business is, or was, a local powerhouse of industry, and many locals now find themselves without jobs and means of earning a living. While this is, prima facie, a tragedy, we could perhaps do something about it. Our government's policy of economic interventionism allows us to use public means to support fledgling or failing businesses. We could intervene in this situation, and support the business.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4403;Support the business;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4403;Ignore the situation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4404;State Industries Fail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4404;...and here we have the bureau chief for the private sector'\n\nOur state industries have, for quite some time, been plagued by inertia and corruption. The result of these evils is a lack of clothes, soap and in some cases even food. With the everyday needs of our population left unsatisfied, it is a mere question of time until we begin seeing some serious displays of dissatisfaction from our population. What is becoming abundantly clear is that we need to deal with these problems.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4404;Reform the administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4404;Improve private incentives;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4405;Overreporting of Progress;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4405;The bureau of economic planning has reported a gross miscalculation in last year's mid-term plan, leading to a severe over-reporting of military goods in our national stock-pile. It has not been easy to find out how this error came about, since everyone in the administration seems to have their hands full with pushing the blame. We could attempt to recover our 'losses' by enacting pay-cuts and rationalizations within the administration and the bureaucracy, but we can not expect a move like that to become popular.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4405;Someone has to pay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4405;Blast!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4406;Yellow Journalism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4406;...it is, therefore, the solemn duty of any $COUNTRY_ADJ$ citizen to, in this her darkest hour, support her country with whatever means possible, with any means at his disposal, with any means necessary'\n\nOne of the nation wide publications that exists in our country has published an opinion editorial in support of our government's Jingoistic war policy. This is of course excellent news, and the question is how we should leverage this publication to gain maximum benefit from it.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4406;Fan the flames of public opinion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4406;Increase our international prestige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4407;Recruitment Drive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4407;Our armed forces have conducted a major recruitment drive across the entire country, and recruits have been flocking to the banners. The drive could not have been conducted, says the military, without the government's policy of strong support for the military. We can channel the positive public relations from this drive to either reduce our people's war exhaustion, or to push for further military gains.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4407;Our people are weary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4407;Our nation is hungry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4408;Curtailing Military Spending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4408;...and it seems to me an outright travesty that, while our people labour under the crushing yokes and fetters of poverty, unsanitary living conditions, and moral degradation, our parliament insits on spending thousands upon thousands upon millions on gunpowder and cannons. Our nation should go to war, gentlemen: A war on the ills that plague our society.'\n\nOne of our cabinet members has addressed parliament with a long speech expounding the government's anti-military policies. How should we leverage this?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4408;Surely people will see his point;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4408;Peace will prevail in the world;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4409;Pacifist Parliament;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4409;We stand before the defining issue, not only of our own time, but of all times. Do we continue to pull on the knots of war that the great nations of the world have tied between them, or do we, instead, lower our weapons and say, openly, that we desire peace, that we burn for peace, that we would die, for peace.'\n\nOur government's pacifist policies have gained a large amount of political traction both within parliament, and in the general population. This popular support can be cashed in, either by reducing militancy, or by further advancing the pacifist cause.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4409;Further the cause!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4409;Reduce militancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4410;God is Dead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4410;Here we stand at the brink of a brave new world. Behind us lie a thousand years of darkness, criminal ignorance and superstitions. Before us lie a new future, free of all these evils. Here, at the fork in the road, we make our choice. God is dead, gentlemen! Do we now advance forward, in clear acceptance of the facts uncovered by the modern sciences, that there is not, and cannot be, a divine creator, or do we cling to our most beloved nightmare, and continue to close our eyes in trembling fear of demons, angels and ghosts of sins past. We are free people, gentlemen. Let us act our part.'\n\nOur government's anti-clerical agenda has, not surprisingly, caused friction with the $COUNTRY_ADJ$ clergy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4410;Black-guard reactionaries!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4410;Take their opinions into consideration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4411;Secular Strife;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4411;It has, over the past few years, become ever more obvious to this observer, that the present marriage between church and state cannot long persist, in face of the ever more agonizing conflicts between them. Conflicts that I, for lack of bettwer words, could refer to as incidents of domestic violence.'\n\nAn intermezzo in one of our states seems to have been caused by our ruling party's secular policies. The local clergy in the area has recieved government support for several charitable ventures. Among other things, the religious organizations have been allowed to rent public buildings at prices vastly below market value.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4411;These policies must end;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4411;It is only charitable work.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4412;Pluralist Peace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4412;We are different. All of us, we who live within the sacred circle of $COUNTRY$, sing with our many, and varied voices. Yet we are all one and the same, for we are all $COUNTRY_ADJ$.'\n\nIt feels like a change in the wind. Old conflicts are being laid to rest, and bitter enemies can be seen arm in arm. It might sound like a fantasy, but the pluralist policies of our ruling party can almost be said to have ushered in a new era of understanding and tolerance in our nation. The calm might be deceptive, but it is calm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4412;We shall overcome!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4412;We are all brothers!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4413;Moralist Resurgence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4413;And the moral fiber of our nation has thus degenerated, now to the point where all the evils that are want to plague a society are allowed free reign and roam in ours. What we need, what we desperately must have, is a moral resurgence in $COUNTRY$. We must return to the old values, to the foundation, to the things that once made our country great.'\n\nA preacher in one of our states has started a small, but locally potent, organization dedicated to what it claims is a much needed moral restoration of $COUNTRY$. No doubt this organization is piggy-backing on the ruling-party's already established moralist policies, and, on account of that, the ruling party could probably use this organization as a vital local ally.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4413;Spread the word!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4413;Rejoice!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4414;Protectionist Lobby;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4414;But today, our high-quality goods are outcompeted by the cheapest vendor-trash that the foreign massproducers can find to drown our market in. It is of the utmost importance, therefore, that we protect our local industries from the damaging influences of foreign competition.'\n\nOne of our states has faced heavy foregin competition in the past few year, and, as a response, a local protectionist lobby has formed. The lobby aims to impose subsidies to what it refers to as 'nationally vital industries', as well as import restrictions on foreign goods.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4414;Support the lobby;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4414;Free trade, and free industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4415;Free Trade & Repeal Society;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4415;And, in these days, when the old mercantilist dragon again rears its ugly head, it becomes more important than ever that those who do not wish to see borders closed and walls erected betweent the peoples of the world, speak their minds and make their voices resoundingly heard in the court of public opinion.'\n\nThe flames of public debate have been fanned today by the formation of a Free Trade Repeal society in one of our states. The society is dedicated to opposing the government's protectionist policies, and to repealing some of the central laws behind the government's policy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4415;The policies will stand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4415;We will consider the arguments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4416;Free Trade & Morals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4416;And, therefore, the issue of economic freedom must, in this instance, be separated from the broader issue of public morality. The free trade of goods across our borders means a constant influx of all filth, depravity and immorality, and this dirty flood that washes over our people, must be stopped.'\n\nA debate has flared up between moralists and free traders in one of our states. Moralists argue that our current free trade policies allow our traders and merchants too much leeway in the types of goods the purvey, and wish to see a ban enacted on goods deemed to constitute a threat to public morality.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4416;Support the Free Traders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4416;Support the Moralists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4417;Moralists Support The War Effort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4417;And, therefore, our nation's conflicts are also our conflicts. Not merely on account of the justness of our fatherland's cause, but also on account of the fundamental moral rightness for which it stands.'\n\nOur government's policies on issues of public morality have led to a massive support for the war effort from moralist circles. Some in these circles have even started to refer to $COUNTRY$'s conflict as a moral crusade.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4417;Rest, brave soldiers!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4417;Fight on, brave soldiers!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4418;Ban on Public Meetings?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4418;In light of the recent acts of violence committed by certain elements within our community, I, therefore, would like to suggest to this chamber a temporary abridgment of the right to assemble in public places. It is a well established fact that the heart of the city pulses along with the heart of the mob, and that by removing the mob, the city will return to calm.'\n\nA conservative clique in the Upper House has, on account on the prevailing social unrest in $COUNTRY$, begun pushing for what they refer to as a temporary ban on public meetings. While the ban is claimed to be temporary, many within the other parties fear that it may very well become institutionalized.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4418;Tyranny is not the answer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4418;A temporary ban would be in order;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4419;Bread Queues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4419;I just want some bread. I've been standing here for four hours now. I don't think they have any bread.'\n\nThe queues can be seen snaking their way for blocks and blocks again. The government controlled food supplies have been having trouble coming in to one of our provinces, on account of inefficiencies and buereaucratic staleness in the Transport & Logistics departments. It is very clear that locals expect us and the central government to act and do something about it.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4419;Insist that there is no problem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4419;Blame the bureaucrats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTC4419;Send military relief;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4421;Liberals Protest Harassment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4421;With our campaign-workers harassed, our party headquarters closed and our officials disturbed in their work at every turn of the road, it comes as surprise to me that we still garner any votes at all! These policies of open political harassment are a shame. A blot of shame on our national conscience, a disgrace to our nation and an insult to what I, had it been that democratic elections were actually being held in $COUNTRY$, would refer to as our electorate.'\n\nLeading liberal politicians in one of our states have protested in fierce language against the harassment policies of our election system. The politicians are up in ire about this, and call upon the national government to react.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4421;Political reforms are not on the government's agenda at this point;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4421;The government agrees that a few, limited, reforms could be in order;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4422;Strike for Peace!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4422;And we will not accept the agitations of the capitalists and the war-profiteers, trying, with their vicious imperialist propaganda, to pit the workers of one country against the workers of another! The workers of the world are all brothers, and we all speak the same language. The sweat on a brother's brow is the sweat on ours, and the blood from a brother's heart, pumps through our veins! Capitalists, comrades, make the money, and we, comrades, spill the blood.'\n\nA strike has broken out in one of our provinces, organized by subversive elements within the trade-union movement. While the strike is officially organized under the parole of peace and solidarity, some in our cabinet suspect that the demonstration is a crypto-socialist manifestation of power.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4422;Outlaw socialist unions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4422;Ignore the demonstration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4423;Overworked Censorship Bureau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4423;The Censorship Bureau has found itself swamped with work in the past few years, and the executive director of the bureau has complained on numerous occasions that his subordinates are incapable of keeping up with the constantly increasing amount of material coming in for review. The issue of the overworked bureau has now reached critical mass with the publication of an article expressing slanderous anti-government propaganda, bordering on personal libel directed at several cabinet members. When asked how the newspaper could pass the censorship process, The Censorship Bureau has pointed to several old reports detailing it's lack of resources. Several cabinet members, however, claim that the bureau has more than enough resources to handle the tasks assigned to it, and that the problems are fundamentally organizational.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4423;Blame the bureaucrats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4423;Increase the Bureau's budget;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4424;Freemarketeering Criticized;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4424;And this is what the wanton speculation of our so-called captains of industry has led to! Gentlemen, these are the results! Hundreds of thousands, if not millions, have been squandered away in high-risk investments, speculative real-estate purchases and bonds that, upon closer inspection, hold no real value save that of hot air. I call upon this assembly to step in and rectify these issues, with a strong policy of regulation and government intervention.'\n\nA member of parliament has criticized our government's economic policy, citing a series of failed investments allegedly made by the private sector.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4424;If it still moves, regulate it;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4424;Economic freedom is intimately connected to human progress;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4425;Newspaper Publishes Blasphemy!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4425;One has to wonder what went through their minds. To publish a text like this in a country like $COUNTRY$? In any event, what is done is done. A widely circulated $COUNTRY_ADJ$ daily has published a blasphemous text containing a scathing denounciation of all things religious. The text is written by a member of our intelligentia of some renown, and is perhaps a sign of the godless times we live in. Moralists demand that the text be retracted with a formal apology issued to the offended religious institutions, while several members of the reform-minded elites argue that the author was simply excersising his right to free speech. After all, the press is free in $COUNTRY$, so there is a case to be made.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4425;It seems that we have allowed our subjects too much freedom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4425;The writer is acting within the rights accorded to him by our laws;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4430;Pressure for Reform;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4430;'And love dares you to change our way of caring, about ourselves.'\n-- Queen\n\nThe political climate in $COUNTRY$ has taken a turn for the worse lately, as more and more of our loyal subjects are beginning to question the wisdom of our less than representational Upper House. The Upper House is increasingly being seen as the one institution primarily responsible for the constant smothering of all attempts and initiatives aiming at political reform, and people are demanding that the institution's founding charters be redrawn to allow for a broader representation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA4430;Insanity laughs under pressure we're cracking.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB4430;Can't we give ourselves one more chance?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4435;The Border Crossing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4435;A family was caught attempting to sneak across the border today, the latest in a spate of such incidents. Normally this would not be a cause for concern, but word of the family's incarceration has leaked out through relatives and become a point of contention. Demonstrations in $CAPITAL$ have demanded that $COUNTRY$'s borders be re-opened.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4435.A;This dissension cannot be permitted.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4435.B;We will consider the idea.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4436;Immigration Quotas Questioned;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC4436;The plight of an immigrant family that has spent three years trying to get permission for relatives to join them in $COUNTRY$ has recently come to the attention of the government. The family meets all criteria for immigration except for one: the quotas have reached their limit, and officials have no recourse but to sometimes deny those who would otherwise be welcome. $COUNTRY_ADJ$ expatriates in other countries have held demonstrations against the policy, claiming it is based in racism and old-fashioned thinking. Conservatives say it is the only way to prevent immigrants from overrunning the system and causing chaos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4436.A;The quotas exist for a reason.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4436.B;Re-examine the quota limits.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME4437;$COUNTRY_ADJ$ Naturalization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
